4-Hydroxyproline	cis-4-Hydroxyproline	0.0190	0.0110	0.0200	0.0210	0.0430	0.0370	0.0330	0.0280	0.0170	0.0110	0.0140	0.0440	0.0350	0.0230	0.0170	0.0290
5-Hydroxyindoleacetic acid	5-Hydroxyindoleacetic acid																
5-Hydroxy-L-tryptophan	5-Hydroxy-tryptophan																
5-Methyl-DL-Tryptophan	5-Methyl-DL-tryptophan																
6-Phosphogluconic acid	6-Phosphogluconic acid																
Thiosulfate	Thiosulfuric acid	0.0370	0.0210	0.0090	0.0210	0.0230	0.0430	0.0180	0.0270	0.0320	0.0110	0.0210	0.0320	0.0510	0.0100	0.0150	0.0360
Threonic acid	Threonic acid	0.0010	0.0010	0.0030		0.0010	0.0010	0.0010	0.0010	0.0040	0.0020	0.0030	0.0010		0.0010	0.0020	
Thymidine 5^-triphosphate	dTTP																
Thymine	Thymine	0.0500	0.0210	0.0060	0.0760	0.0420	0.0450	0.0340	0.0210	0.0080	0.0130	0.0190	0.0230	0.0350	0.0090	0.0090	0.0420
Tryptamine	Tryptamine																
Tryptophol	Tryptophanol																
Uracil	Uracil	0.2150	0.0580	0.0520	0.7770	0.2470	0.2270	0.1550	0.0820	0.0380	0.0280	0.0940	0.1320	0.1910	0.0320	0.0150	0.2000
Uric acid	Uric acid	0.0110	0.0060	0.0090	0.0180	0.0090	0.0090	0.0060	0.0080	0.0200	0.0090	0.0280	0.0140	0.0110	0.0060	0.0080	0.0070
Uridine	Uridine	3.6080	1.3220	1.1170	6.1420	3.6190	5.6890	2.4200	2.1600	1.1100	2.2470	2.1770	2.0150	2.9670	1.2890	0.6690	3.4260
Uridine 5^-diphosphate	UDP																
Uridine 5^-monophosphate	UMP	0.0010	0.0010	0.0250			0.0010	0.0020	0.0010	0.0020	0.0020	0.0030	0.0020	0.0030	0.0070	0.0020	0.0030
Uridine diphosphategalactose	UDP-galactose																
Uridine triphosphate	UTP																
Xanthurenic acid	Xanthurenic acid	0.0020	0.0030		0.0020	0.0040	0.0010	0.0080	0.0030	0.0070	0.0040	0.0020	0.0010	0.0010	0.0030	0.0050	0.0010
																	
